trial,mse,num_factors,learning_rate,weight_decay,num_epochs
0,2.1451667465265913,80,0.0001286217354415312,5.337859280364996e-06,12
1,2.9870913527277403,80,0.006115239410234434,5.701372387753199e-05,8
2,2.2440845844912864,100,0.0019529517616886033,2.9014732332074116e-05,18
3,2.963755012033978,110,0.0039658739354344365,5.822179109744945e-05,15
4,1.6601556610304014,60,0.00031298640615583093,3.6545909115115858e-06,16
5,1.5362135743559189,30,0.003542352301228279,1.923255239536938e-06,12
6,2.913673908382912,50,0.00014664440892811595,3.530580065488736e-05,11
7,2.0761667613483072,90,0.00017634021400408952,6.376732822359954e-06,11
8,2.26280740854113,50,0.0001581406200416016,1.8536950816892766e-05,17
9,1.7773403209573408,70,0.0028306914836433296,1.0567605591812597e-05,9
10,1.4971666216437287,20,0.0005772594858450299,1.1279301879015153e-06,20
11,1.4777829636101216,20,0.0006642045065049329,1.0176814292173608e-06,20
12,1.4860510397800728,20,0.0006559642375224557,1.0391245988113398e-06,20
13,1.4615331071644908,30,0.0009841869738553778,1.0142802230181247e-06,20
14,1.4618270667576996,40,0.0016292443482030885,2.384616162175457e-06,18
15,1.4632339391672002,40,0.0013821890852365945,2.4562553439196533e-06,18
16,1.4639400074127151,40,0.0013209239415402476,2.18092452415526e-06,18
17,1.7051668272978246,40,0.00030310875402566305,3.0195931723696266e-06,14
18,2.2050545090026996,60,0.007740339282076676,1.5609661232007589e-06,19
19,1.5657387498246835,30,0.0019500486496062412,5.800278898543139e-06,16
20,1.7264833390075471,120,0.0011447848234813966,1.2354505044839275e-05,14
21,1.4866526557052775,40,0.0016137236373077832,3.4244464406909393e-06,18
22,1.4606199290261561,30,0.00098238482170162,1.7546484188145045e-06,19
23,1.4726778257763622,30,0.0008956156900288995,1.5064110279184268e-06,19
24,1.6316489227862565,60,0.00044477648219144646,1.561698858666117e-06,17
25,1.518449117987288,50,0.0008982548179676204,4.4985816829866585e-06,19
26,1.4758810295378653,30,0.002320662122664521,2.257275124899163e-06,20
27,1.5868215743291356,20,0.0003696008577509755,1.5082727824744445e-06,17
28,1.590874621838373,50,0.0008724547276810759,7.767323475944417e-06,19
29,3.8065574951310563,30,0.00021637617715553802,9.493907504462742e-05,15
